time,x,y,z,qx,qy,qz,qw,yaw
0.07930183410644531,-0.12079127720801995,-0.03644266068333327,0.008064800351144912,-0.009287461049099128,-0.0385107882752628,-0.0006075174435494502,0.9992148383487083,-0.0005002300870832716
0.18783998489379883,-0.12144435973948212,-0.034123158486196334,0.006144508144720888,-0.008582480748448782,-0.03824312562888807,-0.000651323110975889,0.999231394695213,-0.0006470964858466175
0.2849583625793457,-0.12435092922644903,-0.034207812252200785,0.005464680116300857,-0.008918963729921337,-0.038259013448329306,-0.00031078201176785677,0.9992280037061042,6.155754996421853e-05
0.3784618377685547,-0.12266956251319003,-0.03694647928304727,0.005102713013245261,-0.008824143317524603,-0.038557110825095546,-0.0007544955176757113,0.9992171507915819,-0.0008298108119231319
0.490863561630249,-0.12105923693954253,-0.03435446973987459,0.007058622469807461,-0.00869823938213615,-0.038187443374281996,-0.0006738556754501478,0.999232508337632,-0.0006843463994016986
0.5990638732910156,-0.12089973877504141,-0.037651907251737136,0.008408554203847615,-0.009172994537760397,-0.038232415931473245,-0.0003699937409857805,0.9992267018289116,-3.811520374314389e-05
0.682539701461792,-0.12036900207084143,-0.037501369701553454,0.008380301174309702,-0.008405066443101336,-0.03805814939128242,-0.00048629364087694185,0.9992400590656345,-0.00033305056545970596
0.7742693424224854,-0.11769602498694778,-0.033700864230305175,0.009209872836334017,-0.008448528690259334,-0.03821762237981506,-0.0005873119212515858,0.9992335516621281,-0.0005295052883822195
0.8952682018280029,-0.11947671271126646,-0.036594295563057606,0.009162888845137981,-0.008706875236687393,-0.0377592305690348,-0.00043837395396911604,0.9992488372065907,-0.00021918459812000273
0.9903128147125244,-0.11702638762017986,-0.03820965620738667,0.007035828381819587,-0.008889716588187857,-0.038266390046772035,-0.00048096026885640573,0.9992279144464439,-0.00028164809486741846
1.0907247066497803,-0.11753294524840988,-0.039163651656218004,0.007945439174849953,-0.008895657178601265,-0.03839869625213481,-0.0004618952256965918,0.9992227950073485,-0.00024061886467613034
1.1910924911499023,-0.12194530234978296,-0.035813652747750446,0.008399836568844563,-0.008711103058299365,-0.03809388110805074,-0.0005724519912352261,0.9992360307776892,-0.00048174831333345195
1.2772507667541504,-0.1245238372185681,-0.03519856570720149,0.009094222180096766,-0.00910142619074242,-0.03835724585151492,-0.0008058737659504052,0.9992223157533334,-0.000914976120126819
